run,type,module,name,attrname,attrvalue,value
scenario1-1-20211222-17:37:03-12112,attr,Network.server.processor,service_time_processor:mean,source,service_time_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.server.processor,processor_backlog:mean,,,0.047952047952048
scenario1-1-20211222-17:37:03-12112,attr,Network.server.processor,processor_backlog:mean,source,processor_backlog_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.server.processor,pkt_counter_processor:mean,,,1950.84
scenario1-1-20211222-17:37:03-12112,attr,Network.server.processor,pkt_counter_processor:mean,source,pkt_counter_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.server.disk,service_time_disk:mean,,,0.0033304856287945
scenario1-1-20211222-17:37:03-12112,attr,Network.server.disk,service_time_disk:mean,source,service_time_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.server.disk,pkt_counter_disk:mean,,,753.96
scenario1-1-20211222-17:37:03-12112,attr,Network.server.disk,pkt_counter_disk:mean,source,pkt_counter_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.webServer,service_time_ws:mean,,,0.012378357413315
scenario1-1-20211222-17:37:03-12112,attr,Network.webServer,service_time_ws:mean,source,service_time_s,
scenario1-1-20211222-17:37:03-12112,scalar,Network.webServer,pkt_counter_ws:mean,,,807.73
scenario1-1-20211222-17:37:03-12112,attr,Network.webServer,pkt_counter_ws:mean,source,pkt_counter_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.clients,pkt_counter:mean,,,194.21393034826
scenario1-2-20211222-17:37:04-12112,attr,Network.clients,pkt_counter:mean,source,pkt_counter_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.clients,response_time:mean,,,1.5440764463993
scenario1-2-20211222-17:37:04-12112,attr,Network.clients,response_time:mean,source,response_time_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.clients,interarrival_time:mean,,,0.025736709781542
scenario1-2-20211222-17:37:04-12112,attr,Network.clients,interarrival_time:mean,source,interarrival_time_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.server.processor,service_time_processor:mean,,,0.00099892971397729
scenario1-2-20211222-17:37:04-12112,attr,Network.server.processor,service_time_processor:mean,source,service_time_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.server.processor,processor_backlog:mean,,,0.060939060939061
scenario1-2-20211222-17:37:04-12112,attr,Network.server.processor,processor_backlog:mean,source,processor_backlog_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.server.processor,pkt_counter_processor:mean,,,1930.52
scenario1-2-20211222-17:37:04-12112,attr,Network.server.processor,pkt_counter_processor:mean,source,pkt_counter_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.server.disk,service_time_disk:mean,,,0.0033229089850672
scenario1-2-20211222-17:37:04-12112,attr,Network.server.disk,service_time_disk:mean,source,service_time_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.server.disk,pkt_counter_disk:mean,,,740.92
scenario1-2-20211222-17:37:04-12112,attr,Network.server.disk,pkt_counter_disk:mean,source,pkt_counter_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.webServer,service_time_ws:mean,,,0.012487070523797
scenario1-2-20211222-17:37:04-12112,attr,Network.webServer,service_time_ws:mean,source,service_time_s,
scenario1-2-20211222-17:37:04-12112,scalar,Network.webServer,pkt_counter_ws:mean,,,800.86
scenario1-2-20211222-17:37:04-12112,attr,Network.webServer,pkt_counter_ws:mean,source,pkt_counter_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.clients,pkt_counter:mean,,,194.00497512438
scenario1-3-20211222-17:37:05-12112,attr,Network.clients,pkt_counter:mean,source,pkt_counter_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.clients,response_time:mean,,,1.5477832193009
scenario1-3-20211222-17:37:05-12112,attr,Network.clients,response_time:mean,source,response_time_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.clients,interarrival_time:mean,,,0.025787369414832
scenario1-3-20211222-17:37:05-12112,attr,Network.clients,interarrival_time:mean,source,interarrival_time_s,
scenario1-3-20211222-17:37:05-12112,scalar,Network.server.processor,service_time_processor:mean,,,0.0009981894273325
